TF	Ligand(Target)	Receptor	Source
559	AR	DLL1	NOTCH4	CellTalk
560	AR	DLL1	NOTCH2	CellTalk
561	AR	DLL1	NOTCH3	CellTalk
562	AR	DLL1	NOTCH1	CellTalk
563	AR	RSPO3	LGR6	CellTalk
564	AR	RSPO3	LGR4	CellTalk
565	AR	RSPO3	SDC4	CellTalk
566	AR	RSPO3	FZD8	CellTalk
567	AR	RSPO3	LRP6	CellTalk
568	AR	RSPO3	LGR5	CellTalk
569	AR	NRP1	NRP2	CellChat
570	AR	NRP1	PLXNA1	CellChat
571	AR	NRP1	PLXNA2	CellChat
572	AR	NRP1	PLXNA3	CellChat
573	AR	NRP1	PLXNA4	CellChat
574	AR	FGF12	FGFR4	CellTalk
575	AR	FGF12	FGFR3	CellTalk
576	AR	FGF12	FGFR1	CellTalk
577	AR	FGF12	FGFR2	CellTalk
578	AR	SFRP1	FZD2	CellTalk
579	AR	SFRP1	FZD6	CellTalk
580	AR	COL4A1	ITGB1	CellTalk
581	AR	COL4A1	ITGB8	CellTalk
582	AR	COL4A1	CD93	CellTalk
583	AR	COL4A1	ITGAV	CellTalk
584	AR	COL4A1	ITGA1	CellTalk
585	AR	COL4A1	ITGA2	CellTalk
586	AR	COL4A1	CD47	CellTalk
587	AR	COL4A2	ITGB3	CellTalk
588	AR	COL4A2	CD93	CellTalk
589	AR	COL4A2	ITGB5	CellTalk
590	AR	WNT3A	LRP5	CellTalk
591	AR	WNT3A	FZD5	CellTalk
592	AR	WNT3A	ROR1	CellTalk
593	AR	WNT3A	ATP6AP2	CellTalk
594	AR	WNT3A	APCDD1	CellTalk
595	AR	WNT3A	RYK	CellTalk
596	AR	WNT3A	FZD1	CellTalk
597	AR	WNT3A	FZD7	CellTalk
598	AR	WNT3A	FZD3	CellTalk
599	AR	WNT3A	FZD8	CellTalk
600	AR	WNT3A	FZD2	CellTalk
601	AR	WNT3A	FZD6	CellTalk
602	AR	WNT3A	LRP1	CellTalk
603	AR	WNT3A	LRP6	CellTalk
604	AR	WNT3A	LGR5	CellTalk
605	AR	NPNT	ITGA8	CellTalk
606	AR	NPNT	ITGB1	CellTalk
607	AR	NPNT	FRAS1	CellChat
608	AR	NPNT	FRAS1	CellChat
609	AR	WNT11	MUSK	CellTalk
610	AR	WNT11	KLRG2	CellTalk
611	AR	WNT11	FZD7	CellTalk
612	AR	IL15RA	IL2RB	CellChat
613	AR	FZD4	LRP5	CellChat
614	AR	FZD4	LRP6	CellChat
615	AR	NTNG2	LRRC4	CellTalk
616	AR	NTNG2	LRRC4C	CellTalk
617	AR	DLK1	NOTCH2	CellTalk
618	AR	DLK1	NOTCH3	CellTalk
619	AR	DLK1	NOTCH1	CellTalk
620	AR	NPY	NPY5R	CellTalk
621	AR	NPY	FAP	CellTalk
622	AR	NPY	PRLHR	CellTalk
623	AR	NPY	ADRA2A	CellTalk
624	AR	NPY	MC4R	CellTalk
625	AR	NPY	MTNR1A	CellTalk
626	AR	NPY	NPFFR2	CellTalk
627	AR	NPY	NPY2R	CellTalk
628	AR	NPY	GRM7	CellTalk
629	AR	NPY	DPP4	CellTalk
630	AR	NPY	NPY1R	CellTalk
631	AR	NPY	NPY4R	CellTalk
632	AR	FZD3	LRP5	CellChat
633	AR	FZD3	LRP6	CellChat
634	AR	EFNB2	EPHB6	CellTalk
635	AR	EFNB2	PECAM1	CellTalk
